64818966,65924518,64866623,65971135,10,
75050961,76155570,75110572,76215088,10,
85415483,86520542,85518586,86623168,10,
95727834,96833492,95796027,96900928,10,
106022751,107127666,106083657,107188822,10,
116319179,117424960,116387218,117491811,10,
126610917,127715627,126650462,127755028,10,
136876570,137981630,136951742,138057010,10,
147206621,148312422,147254509,148359206,10,
157471193,158576191,157514654,158619270,10,
167723095,168828047,167810663,168915294,10,
178023852,179129779,178083105,179187685,10,
188398798,189503412,188458645,189563157,10,
198664739,199769259,198714474,199819181,10,
208898849,210003565,208962585,210067118,10,
219230565,220335280,219348448,220453612,10,
229577911,230682557,229618479,230722989,10,
239886600,240991234,240018692,241123297,10,
250239678,251344583,250278803,251383370,10,
260507317,261612384,260571651,261676307,10,
270846719,271951272,270926923,272031384,10,
281158842,282263325,281214553,282319070,10,
291430937,292535576,291494598,292599126,10,
301790841,302896025,301847103,302951531,10,
312085559,313191199,312130498,313235282,10,
322349874,323454812,322390500,323495364,10,
332601486,333706395,332646803,333751370,10,
342846731,343951560,342885392,343989912,10,
353146521,354251433,353203017,354307592,10,
363431543,364546657,363487841,364592993,10,
373759292,374864288,373804144,374908641,10,
384018996,385123475,384058671,385163201,10,
394287559,395392438,394331468,395436143,10,
404582786,405687738,404619163,405724134,10,
414846536,415951110,414887817,415993085,10,
425100340,426205252,425151474,426256579,10,
435395230,436499663,435434481,436539029,10,
445674787,446780419,445734537,446839112,10,
455971048,457076404,456023035,457127804,10,
466306702,467411394,466371133,467475761,10,
476625273,477730736,476670554,477775117,10,
486890863,487995677,486942859,488047559,10,
497234743,498339680,497314973,498419468,10,
507571891,508678192,507617674,508722864,10,
517826764,518931760,517926862,519031494,10,
528135069,529240253,528195626,529300380,10,
538458584,539563615,538511950,539616608,10,
548786534,549891126,548826936,549931544,10,
559089665,560194629,559137470,560242206,10,
569394699,570499199,569476455,570581200,10,
579705493,580810053,579758576,580863136,10,
589997333,591102224,590043808,591148944,10,
600266935,601371789,600314395,601419136,10,
610538560,611643387,610599763,611704917,10,
620818950,621923501,620860374,621965144,10,
631067513,632191413,631134921,632239695,10,
641365825,642470482,641430923,642535611,10,
651666689,652771286,651727118,652831682,10,
661922747,663027438,661964182,663068826,10,
672206940,673311581,672270739,673375475,10,
